ligand,formula,file
CN,[Fe(CN)6]3-,ligand_cn_2d.svg
NC,[Fe(NC)6]3-,ligand_nc_2d.svg
CO,[Fe(CO)5],ligand_co_2d.svg
NO,[Co(NO)6]3+,ligand_no_2d.svg
Cl,[CoCl6]3-,ligand_cl_2d.svg
Br,[CoBr6]3-,ligand_br_2d.svg
I,[CoI6]3-,ligand_i_2d.svg
F,[CoF6]3-,ligand_f_2d.svg
OH,[Co(OH)6]3-,ligand_oh_2d.svg
O,[MnO4]-,ligand_o_2d.svg
S,[FeS4]5-,ligand_s_2d.svg
NH3,[Co(NH3)6]3+,ligand_nh3_2d.svg
H2O,[Fe(H2O)6]3+,ligand_h2o_2d.svg
NO2,[Co(NO2)6]3-,ligand_no2_2d.svg
ONO,[Co(ONO)6]3-,ligand_ono_2d.svg
SCN,[Co(SCN)6]3-,ligand_scn_2d.svg
NCS,[Cr(NCS)6]3-,ligand_ncs_2d.svg
N3,[Co(N3)6]3-,ligand_n3_2d.svg
en,[Co(en)3]3+,ligand_en_2d.svg
phen,[Fe(phen)3]2+,ligand_phen_2d.svg
bipy,[Fe(bipy)3]2+,ligand_bipy_2d.svg
bpy,[Fe(bpy)3]2+,ligand_bpy_2d.svg
ox,[Fe(ox)3]3-,ligand_ox_2d.svg
acac,[Co(acac)3],ligand_acac_2d.svg
EDTA,[Co(EDTA)]-,ligand_edta_upper_2d.svg
edta,[Co(edta)]-,ligand_edta_2d.svg
Cp,[Fe(Cp)2],ligand_cp_2d.svg
tpy,[Ru(tpy)2]2+,ligand_tpy_2d.svg
terpy,[Ru(terpy)2]2+,ligand_terpy_2d.svg
py,[Fe(py)6]2+,ligand_py_2d.svg
dmso,[Pt(dmso)4]2+,ligand_dmso_2d.svg
PPh3,[Ni(PPh3)4],ligand_pph3_2d.svg
PMe3,[Ni(PMe3)4],ligand_pme3_2d.svg
PEt3,[Ni(PEt3)4],ligand_pet3_2d.svg
CH3,[Ti(CH3)4],ligand_ch3_2d.svg
H,[FeH6]4-,ligand_h_2d.svg
